"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка API метода GET","1346","Проверка получения информации по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:47 UTC 2025","passed","Mon Aug 18 17:24:49 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserById"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","669","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:17 UTC 2025","passed","Mon Aug 18 17:24:17 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка API метода DELETE","672","Проверка удаления ранее созданного пользователя","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:22 UTC 2025","passed","Mon Aug 18 17:24:23 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","deleteUserById"
"Проверка поиска по существующему ID","5703","Проверка поиска по существующему ID","PfDiplomaTeam1 All Tests","Mon Aug 18 17:22:59 UTC 2025","passed","Mon Aug 18 17:23:04 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputExistentNumberId"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","5952","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Mon Aug 18 17:13:08 UTC 2025","passed","Mon Aug 18 17:13:14 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Проверка ошибок  при удалении","4390","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 17:17:22 UTC 2025","passed","Mon Aug 18 17:17:26 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","670","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:20 UTC 2025","passed","Mon Aug 18 17:24:21 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка API метода POST: выполнение запроса с неверным методом","670","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:21 UTC 2025","passed","Mon Aug 18 17:24:22 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserWrongMethod"
"Проверка поиска по несуществующему ID через ввод отрицательного числа","5674","Проверка поиска по несуществующему ID через ввод отрицательного числа","PfDiplomaTeam1 All Tests","Mon Aug 18 17:23:16 UTC 2025","passed","Mon Aug 18 17:23:22 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNegativeNumberId"
"Проверка ошибок при некорректном заполнении карточки авто","1848","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Mon Aug 18 17:20:11 UTC 2025","passed","Mon Aug 18 17:20:13 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка API метода GET","1906","Запрос на получение всех пользователей","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:45 UTC 2025","passed","Mon Aug 18 17:24:47 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getAllUsers"
"Негативные проверки на ввод цифр в поля ввода","4339","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 17:11:57 UTC 2025","passed","Mon Aug 18 17:12:01 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Попытка продать автомобиль не в собственности пользователя","1311","Попытка продажи автомобиля пользователем (авто не во владении пользователя)","PfDiplomaTeam1 All Tests","Mon Aug 18 17:24:44 UTC 2025","passed","Mon Aug 18 17:24:45 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarNotInOwn"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5938","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 17:12:38 UTC 2025","passed","Mon Aug 18 17:12:44 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка ошибок при неккоректном заполнении карточки клиента","5486","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 17:16:17 UTC 2025","passed","Mon Aug 18 17:16:23 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","5486","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 17:15:33 UTC 2025","passed","Mon Aug 18 17:15:38 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5373","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Mon Aug 18 17:13:37 UTC 2025","passed","Mon Aug 18 17:13:42 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
