"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибок при неккоректном заполнении карточки клиента","13556","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:57:48 UTC 2025","failed","Sat Aug 16 20:58:02 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения значения возраста нажатием стрелочек","13623","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 20:37:46 UTC 2025","failed","Sat Aug 16 20:38:00 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка ошибок при неккоректном заполнении карточки клиента","13589","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:45:58 UTC 2025","failed","Sat Aug 16 20:46:12 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Негативные проверки на ввод цифр в поля ввода","13523","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 21:19:45 UTC 2025","failed","Sat Aug 16 21:19:59 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","347","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:32:57 UTC 2025","failed","Sat Aug 16 21:32:57 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка API метода POST","348","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Sat Aug 16 21:32:54 UTC 2025","failed","Sat Aug 16 21:32:54 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","0","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Sat Aug 16 21:33:08 UTC 2025","skipped","Sat Aug 16 21:33:08 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Проверка ошибок  при удалении","13689","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 21:06:03 UTC 2025","failed","Sat Aug 16 21:06:17 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","347","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:33:00 UTC 2025","failed","Sat Aug 16 21:33:00 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка ошибок при неккоректном заполнении карточки клиента","13539","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:48:42 UTC 2025","failed","Sat Aug 16 20:48:56 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения данных авто по ID API","353","Проверка изменения данных авто по ID API","PfDiplomaTeam1 All Tests","Sat Aug 16 21:32:47 UTC 2025","failed","Sat Aug 16 21:32:47 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","changeCarByIDAPI"
"Проверка ошибок при неккоректном заполнении карточки клиента","13556","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:49:37 UTC 2025","failed","Sat Aug 16 20:49:50 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: выполнение запроса с неверным методом","346","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:33:04 UTC 2025","failed","Sat Aug 16 21:33:04 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserWrongMethod"
"Проверка изменения значения возраста нажатием стрелочек","13589","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 20:36:52 UTC 2025","failed","Sat Aug 16 20:37:05 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Негативные проверки на ввод цифр в поля ввода","13889","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 21:21:34 UTC 2025","failed","Sat Aug 16 21:21:48 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка продажи автомобиля","348","Продажа автомобиля пользователем","PfDiplomaTeam1 All Tests","Sat Aug 16 21:33:09 UTC 2025","failed","Sat Aug 16 21:33:10 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCar"
"Проверка ошибок при неккоректном заполнении карточки клиента","13573","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:53:15 UTC 2025","failed","Sat Aug 16 20:53:29 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Попытка заселения / выселения пользователя при неполном заполнении формы","13489","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 21:26:10 UTC 2025","failed","Sat Aug 16 21:26:23 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка ошибок при неккоректном заполнении полей добавление денег","13555","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:32:17 UTC 2025","failed","Sat Aug 16 20:32:30 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Негативные проверки на ввод цифр в поля ввода","13573","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:15:55 UTC 2025","failed","Sat Aug 16 20:16:09 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Попытка продать автомобиль не в собственности пользователя","0","Попытка продажи автомобиля пользователем (авто не во владении пользователя)","PfDiplomaTeam1 All Tests","Sat Aug 16 21:33:10 UTC 2025","skipped","Sat Aug 16 21:33:10 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarNotInOwn"
"Проверка API метода POST: выполнение запроса с неверным методом","340","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Sat Aug 16 21:32:53 UTC 2025","failed","Sat Aug 16 21:32:53 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Проверка покупки автомобиля (user.amount = car.price)","347","Покупка автомобиля пользователем","PfDiplomaTeam1 All Tests","Sat Aug 16 21:33:13 UTC 2025","failed","Sat Aug 16 21:33:14 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountEqualPrice"
"Негативные проверки на ввод цифр в поля ввода","13571","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:14:06 UTC 2025","failed","Sat Aug 16 20:14:19 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","13508","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sat Aug 16 21:31:36 UTC 2025","failed","Sat Aug 16 21:31:50 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
