"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка покупки автомобиля (user.amount < car.price","2141","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Tue Aug 19 09:14:19 UTC 2025","passed","Tue Aug 19 09:14:21 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Проверка покупки автомобиля (user.amount = car.price)","4829","Покупка того же автомобиля пользователем","PfDiplomaTeam1 All Tests","Tue Aug 19 09:14:21 UTC 2025","passed","Tue Aug 19 09:14:26 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarTwice"
"Проверка кнопки Reload","5796","Проверка кнопки Reload","PfDiplomaTeam1 All Tests","Tue Aug 19 09:11:44 UTC 2025","passed","Tue Aug 19 09:11:50 UTC 2025","tests.ui.ReadAllPageTest","All Tests","tests.ui.ReadAllPageTest","clickReloadButton"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","11725","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Tue Aug 19 08:59:52 UTC 2025","passed","Tue Aug 19 09:00:03 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4478","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Tue Aug 19 09:00:08 UTC 2025","passed","Tue Aug 19 09:00:13 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка API метода POST","723","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Tue Aug 19 09:13:58 UTC 2025","passed","Tue Aug 19 09:13:59 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","728","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Tue Aug 19 09:14:00 UTC 2025","passed","Tue Aug 19 09:14:01 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка ошибок  при удалении","4543","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Tue Aug 19 09:06:29 UTC 2025","passed","Tue Aug 19 09:06:33 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","6057","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Tue Aug 19 09:01:58 UTC 2025","passed","Tue Aug 19 09:02:04 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Проверка изменения значения в поле ввода по нажатию на стрелочки","4407","Проверка увеличение/уменьшение значений в поле ввода READ  при нажатии на стрелки","PfDiplomaTeam1 All Tests","Tue Aug 19 09:13:07 UTC 2025","passed","Tue Aug 19 09:13:11 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","changeFieldsValue"
"Проверка нажатия Push To API с положительными значениями инпутов, добавленных через поля ввода","8161","Проверка нажатия Push To API с положительными значениями инпутов, добавленных через поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:11:36 UTC 2025","failed","Tue Aug 19 09:11:44 UTC 2025","tests.ui.CreateNewPageTest","All Tests","tests.ui.CreateNewPageTest","sentPositiveNumbersByInputs"
"Проверка API метода DELETE","731","Проверка удаления ранее созданного пользователя","PfDiplomaTeam1 All Tests","Tue Aug 19 09:14:13 UTC 2025","passed","Tue Aug 19 09:14:14 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","deleteUserById"
"","954","Проверка сортировки по ID (возрастание и убывание)","PfDiplomaTeam1 All Tests","Tue Aug 19 09:09:44 UTC 2025","passed","Tue Aug 19 09:09:45 UTC 2025","tests.ui.TestCarsReadAll","All Tests","tests.ui.TestCarsReadAll","testIdSorting"
"Проверка ошибок при неккоректном заполнении карточки клиента","5648","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Tue Aug 19 09:05:43 UTC 2025","passed","Tue Aug 19 09:05:49 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода PUT","743","Проверка изменения данных по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Tue Aug 19 09:13:59 UTC 2025","passed","Tue Aug 19 09:14:00 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserData"
"Негативная проверка на ввод цифр,букв, символов в поля ввода","4421","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:13:24 UTC 2025","passed","Tue Aug 19 09:13:29 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","negativeInputInFields"
"Позитивная проверка на ввод цифр в поля ввода","4391","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:13:35 UTC 2025","passed","Tue Aug 19 09:13:40 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","positiveInputInFields"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4369","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Tue Aug 19 09:07:01 UTC 2025","passed","Tue Aug 19 09:07:05 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Негативные проверки на ввод цифр в поля ввода","4437","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:00:40 UTC 2025","passed","Tue Aug 19 09:00:44 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4473","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:07:28 UTC 2025","passed","Tue Aug 19 09:07:32 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4437","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:07:10 UTC 2025","passed","Tue Aug 19 09:07:14 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6014","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Tue Aug 19 09:08:01 UTC 2025","passed","Tue Aug 19 09:08:07 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка ошибок  при удалении","6485","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Tue Aug 19 09:06:17 UTC 2025","passed","Tue Aug 19 09:06:24 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"","5235","Успешное создание нового пользователя","PfDiplomaTeam1 All Tests","Tue Aug 19 09:16:18 UTC 2025","passed","Tue Aug 19 09:16:23 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testValidUserSubmissionOnCreateUserForm"
"Проверка изменения значения в поле ввода по нажатию на стрелочки","4371","Проверка увеличение/уменьшение значений в поле ввода READ  при нажатии на стрелки","PfDiplomaTeam1 All Tests","Tue Aug 19 09:13:02 UTC 2025","passed","Tue Aug 19 09:13:06 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","changeFieldsValue"
"Проверка добавления денег","6963","Проверка добавления денег","PfDiplomaTeam1 All Tests","Tue Aug 19 09:02:34 UTC 2025","passed","Tue Aug 19 09:02:41 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","validAddMoney"
"Негативные проверки на ввод цифр в поля ввода","4405","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 09:07:41 UTC 2025","passed","Tue Aug 19 09:07:46 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка API метода PUT","724","Попытка изменения информации по несуществующему пользователю","PfDiplomaTeam1 All Tests","Tue Aug 19 09:14:14 UTC 2025","passed","Tue Aug 19 09:14:15 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserWithNonExistentId"
"Проверка ошибок при неккоректном заполнении карточки клиента","5614","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Tue Aug 19 09:04:55 UTC 2025","passed","Tue Aug 19 09:05:01 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","5632","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Tue Aug 19 09:05:37 UTC 2025","failed","Tue Aug 19 09:05:43 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
