"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные проверки на ввод цифр в поля ввода","4279","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 22:35:30 UTC 2025","passed","Sat Aug 16 22:35:35 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4312","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 22:29:08 UTC 2025","passed","Sat Aug 16 22:29:12 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4286","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 22:35:48 UTC 2025","passed","Sat Aug 16 22:35:52 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","5438","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 22:32:39 UTC 2025","passed","Sat Aug 16 22:32:44 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5888","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 22:29:50 UTC 2025","passed","Sat Aug 16 22:29:56 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","663","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Sat Aug 16 22:38:01 UTC 2025","passed","Sat Aug 16 22:38:01 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Проверка API метода POST: выполнение запроса с неверным методом","2002","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Sat Aug 16 22:37:29 UTC 2025","failed","Sat Aug 16 22:37:31 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Проверка изменения значения возраста нажатием стрелочек","5860","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 22:31:12 UTC 2025","passed","Sat Aug 16 22:31:18 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка ошибок  при удалении","4389","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 22:35:08 UTC 2025","passed","Sat Aug 16 22:35:12 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5843","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 22:30:08 UTC 2025","passed","Sat Aug 16 22:30:14 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
