"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","598","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:12 UTC 2025","passed","Wed Aug 20 09:58:13 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"Проверка ошибок при неккоректном заполнении карточки клиента","5274","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 09:49:37 UTC 2025","passed","Wed Aug 20 09:49:42 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Позитивная проверка на ввод цифр в поля ввода","4093","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 09:52:56 UTC 2025","passed","Wed Aug 20 09:53:00 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Попытка заселения / выселения пользователя при неполном заполнении формы","5671","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:53:22 UTC 2025","passed","Wed Aug 20 09:53:27 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4060","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 09:52:14 UTC 2025","passed","Wed Aug 20 09:52:18 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка изменения данных авто по ID API","4173","Проверка изменения данных авто по ID API","PfDiplomaTeam1 All Tests","Wed Aug 20 09:57:32 UTC 2025","passed","Wed Aug 20 09:57:36 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","changeCarByIDAPI"
"Негативные проверки на ввод цифр в поля ввода","4116","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 09:52:23 UTC 2025","passed","Wed Aug 20 09:52:27 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка изменения значения возраста нажатием стрелочек","5800","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 09:48:13 UTC 2025","passed","Wed Aug 20 09:48:19 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","582","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Wed Aug 20 09:57:54 UTC 2025","passed","Wed Aug 20 09:57:55 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка при заполнении карточки авто валидными данными","1927","createCarWithValidData","PfDiplomaTeam1 All Tests","Wed Aug 20 09:54:30 UTC 2025","passed","Wed Aug 20 09:54:32 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithValidData"
"Проверка API метода GET","1212","Проверка получения информации по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:25 UTC 2025","passed","Wed Aug 20 09:58:26 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserById"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5732","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:46:53 UTC 2025","passed","Wed Aug 20 09:46:58 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода POST: выполнение запроса с неверным методом","1804","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Wed Aug 20 09:57:45 UTC 2025","failed","Wed Aug 20 09:57:47 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Проверка ошибок при неккоректном заполнении карточки клиента","5316","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 09:49:58 UTC 2025","failed","Wed Aug 20 09:50:04 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"","6133","Отправка пустой формы 'Начисление денег пользователю'  — ошибка валидации","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:46 UTC 2025","passed","Wed Aug 20 09:58:52 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testEmptyFormAddMoney"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5219","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Wed Aug 20 09:48:01 UTC 2025","passed","Wed Aug 20 09:48:06 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка изменения значения в поле ввода по нажатию на стрелочки","4060","Проверка увеличение/уменьшение значений в поле ввода READ  при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 09:57:00 UTC 2025","passed","Wed Aug 20 09:57:04 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","changeFieldsValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","5242","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 09:49:26 UTC 2025","passed","Wed Aug 20 09:49:32 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","5279","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 09:49:32 UTC 2025","passed","Wed Aug 20 09:49:37 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок  при удалении","4222","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:51:57 UTC 2025","passed","Wed Aug 20 09:52:02 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка покупки автомобиля (user.amount = car.price)","3419","Покупка автомобиля пользователем","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:26 UTC 2025","passed","Wed Aug 20 09:58:30 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountEqualPrice"
"Проверка ошибок  при удалении","4228","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:52:02 UTC 2025","passed","Wed Aug 20 09:52:06 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5714","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:46:58 UTC 2025","passed","Wed Aug 20 09:47:04 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Попытка заселения / выселения пользователя при неполном заполнении формы","5688","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:53:10 UTC 2025","passed","Wed Aug 20 09:53:16 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","5869","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 09:53:45 UTC 2025","passed","Wed Aug 20 09:53:51 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка покупки автомобиля (user.amount < car.price","1783","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:05 UTC 2025","passed","Wed Aug 20 09:58:06 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","594","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Wed Aug 20 09:57:57 UTC 2025","failed","Wed Aug 20 09:57:58 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка добавления денег","6671","Проверка добавления денег","PfDiplomaTeam1 All Tests","Wed Aug 20 09:48:06 UTC 2025","passed","Wed Aug 20 09:48:13 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","validAddMoney"
"Проверка создания авто API","1629","Проверка создания авто API","PfDiplomaTeam1 All Tests","Wed Aug 20 09:57:36 UTC 2025","passed","Wed Aug 20 09:57:37 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","createCarAPI"
"Проверка ошибок при неккоректном заполнении карточки клиента","5283","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 09:50:25 UTC 2025","passed","Wed Aug 20 09:50:31 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","596","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:15 UTC 2025","passed","Wed Aug 20 09:58:15 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4126","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 09:52:10 UTC 2025","passed","Wed Aug 20 09:52:14 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка ошибок  при удалении","4222","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:51:23 UTC 2025","passed","Wed Aug 20 09:51:27 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"","68","Проверка видимости элементов таблицы","PfDiplomaTeam1 All Tests","Wed Aug 20 09:56:47 UTC 2025","passed","Wed Aug 20 09:56:47 UTC 2025","tests.ui.ReadAllUsersTest","All Tests","tests.ui.ReadAllUsersTest","testElements"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","5705","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 09:53:56 UTC 2025","passed","Wed Aug 20 09:54:02 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка API метода GET: выполнение запроса с неверным методом","592","Нарушение контракта GET /user/{userId}","PfDiplomaTeam1 All Tests","Wed Aug 20 09:58:04 UTC 2025","passed","Wed Aug 20 09:58:05 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserWithIncorrectMethod"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","5735","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 09:47:22 UTC 2025","passed","Wed Aug 20 09:47:27 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
