"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","598","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Sat Aug 16 20:49:36 UTC 2025","passed","Sat Aug 16 20:49:37 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка ошибок при неккоректном заполнении карточки клиента","5284","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:43:48 UTC 2025","passed","Sat Aug 16 20:43:54 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","5234","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:43:59 UTC 2025","passed","Sat Aug 16 20:44:04 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5169","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:42:34 UTC 2025","passed","Sat Aug 16 20:42:39 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","4305","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 20:40:53 UTC 2025","passed","Sat Aug 16 20:40:57 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка ошибок при неккоректном заполнении карточки клиента","5270","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:45:36 UTC 2025","passed","Sat Aug 16 20:45:41 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Негативные проверки на ввод цифр в поля ввода","4100","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:46:58 UTC 2025","passed","Sat Aug 16 20:47:03 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка покупки автомобиля (user.amount = car.price)","2547","Покупка автомобиля пользователем","PfDiplomaTeam1 All Tests","Sat Aug 16 20:50:31 UTC 2025","broken","Sat Aug 16 20:50:34 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountEqualPrice"
"Проверка ошибок  при удалении","4198","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:46:33 UTC 2025","passed","Sat Aug 16 20:46:38 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","591","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 20:49:38 UTC 2025","passed","Sat Aug 16 20:49:39 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","4331","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 20:40:49 UTC 2025","passed","Sat Aug 16 20:40:53 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода GET","1865","Запрос на получение всех пользователей","PfDiplomaTeam1 All Tests","Sat Aug 16 20:50:20 UTC 2025","passed","Sat Aug 16 20:50:22 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getAllUsers"
"Проверка изменения значения денег нажатием стрелочек","5494","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 20:43:26 UTC 2025","passed","Sat Aug 16 20:43:32 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Негативные проверки на ввод цифр в поля ввода","4132","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:40:19 UTC 2025","passed","Sat Aug 16 20:40:23 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4046","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sat Aug 16 20:46:50 UTC 2025","passed","Sat Aug 16 20:46:54 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка API метода PUT","633","Проверка изменения данных по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Sat Aug 16 20:49:32 UTC 2025","passed","Sat Aug 16 20:49:32 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserData"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5143","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:42:18 UTC 2025","passed","Sat Aug 16 20:42:23 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","4340","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 20:40:35 UTC 2025","passed","Sat Aug 16 20:40:40 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","603","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Sat Aug 16 20:50:06 UTC 2025","passed","Sat Aug 16 20:50:07 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Негативные проверки на ввод цифр в поля ввода","4078","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:47:03 UTC 2025","passed","Sat Aug 16 20:47:07 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4052","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sat Aug 16 20:46:38 UTC 2025","passed","Sat Aug 16 20:46:42 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка API метода GET","605","Попытка получения информации по несуществующему пользователю","PfDiplomaTeam1 All Tests","Sat Aug 16 20:49:47 UTC 2025","passed","Sat Aug 16 20:49:48 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserByNonExistentId"
