"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибок  при удалении","4353","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 19:16:51 UTC 2025","passed","Mon Aug 18 19:16:56 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка поиска по ID = 0 через нажатие стрелок","5547","Проверка поиска по ID = 0 через нажатие стрелок","PfDiplomaTeam1 All Tests","Mon Aug 18 19:22:27 UTC 2025","passed","Mon Aug 18 19:22:32 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNullIdByArrows"
"Проверка ошибок при неккоректном заполнении карточки клиента","5392","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:14:17 UTC 2025","passed","Mon Aug 18 19:14:23 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4292","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Mon Aug 18 19:10:36 UTC 2025","passed","Mon Aug 18 19:10:40 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка создания карточки машины с локализированными валидными данными","1990","createLocalizedCar","PfDiplomaTeam1 All Tests","Mon Aug 18 19:19:34 UTC 2025","passed","Mon Aug 18 19:19:36 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createLocalizedCar"
"Проверка изменения значения денег нажатием стрелочек","5636","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 19:13:43 UTC 2025","passed","Mon Aug 18 19:13:49 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка ошибок при неккоректном заполнении карточки клиента","5386","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:15:28 UTC 2025","passed","Mon Aug 18 19:15:34 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок  при удалении","4310","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 19:16:43 UTC 2025","passed","Mon Aug 18 19:16:47 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка при заполнении карточки авто валидными данными","1972","createCarWithValidData","PfDiplomaTeam1 All Tests","Mon Aug 18 19:19:28 UTC 2025","passed","Mon Aug 18 19:19:30 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithValidData"
"Проверка ошибок при неккоректном заполнении карточки клиента","5373","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:14:23 UTC 2025","passed","Mon Aug 18 19:14:28 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения дома API","1843","Обновление дома (PUT /house/{id})","PfDiplomaTeam1 All Tests","Mon Aug 18 19:24:24 UTC 2025","passed","Mon Aug 18 19:24:26 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","updateHouseTest"
"Проверка изменения значения возраста нажатием стрелочек","5910","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 19:13:07 UTC 2025","passed","Mon Aug 18 19:13:13 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
