"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные проверки на ввод цифр в поля ввода","5199","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 14:28:55 UTC 2025","passed","Tue Aug 19 14:29:00 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","6306","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Tue Aug 19 14:25:09 UTC 2025","passed","Tue Aug 19 14:25:15 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","8218","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Tue Aug 19 14:24:42 UTC 2025","passed","Tue Aug 19 14:24:50 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка получения авто по ID API","1660","Проверка получения авто по ID API","PfDiplomaTeam1 All Tests","Tue Aug 19 14:35:30 UTC 2025","passed","Tue Aug 19 14:35:31 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","getCarByIDAPI"
"Проверка получения дома API","3822","Получение дома по id (GET /house/{id})","PfDiplomaTeam1 All Tests","Tue Aug 19 14:36:48 UTC 2025","passed","Tue Aug 19 14:36:52 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","getHouseByIdTest"
"Проверка поиска по несуществующему ID через ввод отрицательного числа","6918","Проверка поиска по несуществующему ID через ввод отрицательного числа","PfDiplomaTeam1 All Tests","Tue Aug 19 14:33:46 UTC 2025","passed","Tue Aug 19 14:33:53 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNegativeNumberId"
"Проверка кнопки Reload","6753","Проверка кнопки Reload","PfDiplomaTeam1 All Tests","Tue Aug 19 14:33:12 UTC 2025","passed","Tue Aug 19 14:33:18 UTC 2025","tests.ui.ReadAllPageTest","All Tests","tests.ui.ReadAllPageTest","clickReloadButton"
"Проверка ошибок при неккоректном заполнении карточки клиента","6334","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Tue Aug 19 14:24:50 UTC 2025","passed","Tue Aug 19 14:24:56 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Позитивная проверка на ввод цифр в поля ввода","5172","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 14:21:24 UTC 2025","passed","Tue Aug 19 14:21:29 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Проверка ошибок  при удалении","5255","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Tue Aug 19 14:27:30 UTC 2025","passed","Tue Aug 19 14:27:35 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка поиска по существующему ID","6893","Проверка поиска по существующему ID","PfDiplomaTeam1 All Tests","Tue Aug 19 14:33:25 UTC 2025","passed","Tue Aug 19 14:33:32 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputExistentNumberId"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","6764","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Tue Aug 19 14:21:43 UTC 2025","passed","Tue Aug 19 14:21:50 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Позитивная проверка на ввод цифр в поля ввода","5170","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 14:21:19 UTC 2025","passed","Tue Aug 19 14:21:24 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","864","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Tue Aug 19 14:36:15 UTC 2025","passed","Tue Aug 19 14:36:16 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"","8847","Успешное начисление денег пользователю","PfDiplomaTeam1 All Tests","Tue Aug 19 14:38:24 UTC 2025","passed","Tue Aug 19 14:38:32 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testValidUserSubmissionOnAddMoneyForm"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","6782","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Tue Aug 19 14:30:23 UTC 2025","passed","Tue Aug 19 14:30:29 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка API метода GET","2467","Запрос на получение всех пользователей","PfDiplomaTeam1 All Tests","Tue Aug 19 14:36:27 UTC 2025","passed","Tue Aug 19 14:36:29 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getAllUsers"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6191","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Tue Aug 19 14:22:46 UTC 2025","passed","Tue Aug 19 14:22:52 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","6820","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Tue Aug 19 14:22:18 UTC 2025","passed","Tue Aug 19 14:22:24 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Позитивная проверка на ввод цифр в поля ввода","5155","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Tue Aug 19 14:29:21 UTC 2025","passed","Tue Aug 19 14:29:26 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка ошибок  при удалении","5279","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Tue Aug 19 14:27:51 UTC 2025","passed","Tue Aug 19 14:27:57 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","5134","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Tue Aug 19 14:28:28 UTC 2025","passed","Tue Aug 19 14:28:34 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6271","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Tue Aug 19 14:22:52 UTC 2025","passed","Tue Aug 19 14:22:59 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка ошибок  при удалении","5293","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Tue Aug 19 14:27:09 UTC 2025","passed","Tue Aug 19 14:27:14 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
