"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибок  при удалении","15172","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:48:07 UTC 2025","failed","Sat Aug 16 20:48:22 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","13623","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:29 UTC 2025","failed","Sat Aug 16 21:10:43 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","338","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:58 UTC 2025","failed","Sat Aug 16 21:10:58 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","14341","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sat Aug 16 20:50:03 UTC 2025","failed","Sat Aug 16 20:50:17 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","13705","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:25:30 UTC 2025","failed","Sat Aug 16 20:25:44 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST","347","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:51 UTC 2025","failed","Sat Aug 16 21:10:52 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Проверка ошибок при неккоректном заполнении карточки клиента","13706","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:35:36 UTC 2025","failed","Sat Aug 16 20:35:50 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении полей добавление денег","13672","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:11:41 UTC 2025","failed","Sat Aug 16 20:11:55 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Позитивная проверка на ввод цифр в поля ввода","13671","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 21:00:22 UTC 2025","failed","Sat Aug 16 21:00:36 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка API метода GET","336","Проверка получения информации по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Sat Aug 16 21:11:09 UTC 2025","failed","Sat Aug 16 21:11:09 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserById"
"Проверка изменения значения денег нажатием стрелочек","13673","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 20:18:09 UTC 2025","failed","Sat Aug 16 20:18:23 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка изменения значения возраста нажатием стрелочек","13856","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 20:15:23 UTC 2025","failed","Sat Aug 16 20:15:37 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Попытка продать автомобиль другого пользователя","337","Попытка продажи автомобиля пользователем (авто во владении другого пользователя)","PfDiplomaTeam1 All Tests","Sat Aug 16 21:11:12 UTC 2025","failed","Sat Aug 16 21:11:12 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarAnotherUserOwns"
"Проверка ошибок при неккоректном заполнении полей добавление денег","13722","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:10:46 UTC 2025","failed","Sat Aug 16 20:11:00 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Негативные проверки на ввод цифр в поля ввода","14956","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:55:45 UTC 2025","failed","Sat Aug 16 20:56:00 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка Удаления авто по ID API","346","Проверка Удаления авто по ID API","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:47 UTC 2025","failed","Sat Aug 16 21:10:47 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","deleteCarByIDAPI"
"Позитивная проверка на ввод цифр в поля ввода","14872","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 19:57:56 UTC 2025","failed","Sat Aug 16 19:58:10 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Негативные проверки на ввод цифр в поля ввода","13853","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 19:51:29 UTC 2025","failed","Sat Aug 16 19:51:43 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","13621","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 19:50:34 UTC 2025","failed","Sat Aug 16 19:50:47 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","13672","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:31:55 UTC 2025","failed","Sat Aug 16 20:32:09 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","13688","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:31:00 UTC 2025","failed","Sat Aug 16 20:31:14 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","336","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:55 UTC 2025","failed","Sat Aug 16 21:10:56 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка ошибок при неккоректном заполнении карточки клиента","13707","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:34:41 UTC 2025","failed","Sat Aug 16 20:34:55 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Негативные проверки на ввод цифр в поля ввода","13703","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 19:52:24 UTC 2025","failed","Sat Aug 16 19:52:38 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","346","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:54 UTC 2025","failed","Sat Aug 16 21:10:54 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка покупки автомобиля (user.amount = car.price)","335","Покупка автомобиля пользователем","PfDiplomaTeam1 All Tests","Sat Aug 16 21:11:10 UTC 2025","failed","Sat Aug 16 21:11:11 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountEqualPrice"
"Проверка API метода POST: выполнение запроса с неверным методом","346","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Sat Aug 16 21:10:50 UTC 2025","failed","Sat Aug 16 21:10:50 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Проверка покупки автомобиля (user.amount < car.price","347","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Sat Aug 16 21:11:04 UTC 2025","failed","Sat Aug 16 21:11:04 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Проверка API метода GET: выполнение запроса с неверным методом","340","Нарушение контракта GET /users","PfDiplomaTeam1 All Tests","Sat Aug 16 21:11:02 UTC 2025","failed","Sat Aug 16 21:11:03 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getAllUsersWrongMethod"
"Проверка изменения значения денег нажатием стрелочек","13708","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Sat Aug 16 20:19:59 UTC 2025","failed","Sat Aug 16 20:20:13 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка ошибок  при удалении","14522","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:41:22 UTC 2025","failed","Sat Aug 16 20:41:37 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","13602","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sat Aug 16 19:47:50 UTC 2025","failed","Sat Aug 16 19:48:03 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","13656","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sat Aug 16 20:06:11 UTC 2025","failed","Sat Aug 16 20:06:25 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Проверка добавления денег","13873","Проверка добавления денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:12:37 UTC 2025","failed","Sat Aug 16 20:12:51 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","validAddMoney"
"Попытка заселения / выселения пользователя при неполном заполнении формы","13623","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 21:06:49 UTC 2025","failed","Sat Aug 16 21:07:02 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка создания клиента","13722","Проверка создания клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:21:50 UTC 2025","failed","Sat Aug 16 20:22:03 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUser"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","13640","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sat Aug 16 21:07:44 UTC 2025","failed","Sat Aug 16 21:07:57 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Позитивная проверка на ввод цифр в поля ввода","13639","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 19:56:59 UTC 2025","failed","Sat Aug 16 19:57:13 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Негативные проверки на ввод цифр в поля ввода","14973","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:53:50 UTC 2025","failed","Sat Aug 16 20:54:05 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении полей добавление денег","13688","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:09:51 UTC 2025","failed","Sat Aug 16 20:10:05 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
