"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные проверки на ввод цифр в поля ввода","5160","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 19:33:57 UTC 2025","passed","Sun Aug 17 19:34:02 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка API метода PUT","854","Проверка изменения данных по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Sun Aug 17 19:36:46 UTC 2025","passed","Sun Aug 17 19:36:47 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserData"
"Позитивная проверка на ввод цифр в поля ввода","5159","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 19:34:13 UTC 2025","passed","Sun Aug 17 19:34:18 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","6346","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 19:31:48 UTC 2025","passed","Sun Aug 17 19:31:54 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок  при удалении","5293","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sun Aug 17 19:32:59 UTC 2025","passed","Sun Aug 17 19:33:05 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка API метода GET: выполнение запроса с неверным методом","808","Нарушение контракта GET /user/{userId}","PfDiplomaTeam1 All Tests","Sun Aug 17 19:37:08 UTC 2025","passed","Sun Aug 17 19:37:09 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserWithIncorrectMethod"
"Негативные проверки на ввод цифр в поля ввода","5177","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 19:26:02 UTC 2025","passed","Sun Aug 17 19:26:07 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Попытка продать автомобиль другого пользователя","6290","Попытка продажи автомобиля пользователем (авто во владении другого пользователя)","PfDiplomaTeam1 All Tests","Sun Aug 17 19:37:39 UTC 2025","passed","Sun Aug 17 19:37:46 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarAnotherUserOwns"
"Проверка ошибок при неккоректном заполнении карточки клиента","6355","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 19:31:54 UTC 2025","passed","Sun Aug 17 19:32:00 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","6357","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 19:30:30 UTC 2025","failed","Sun Aug 17 19:30:37 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
