"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные проверки на ввод цифр в поля ввода","4087","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:28:21 UTC 2025","passed","Mon Aug 18 19:28:25 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5661","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 19:29:02 UTC 2025","passed","Mon Aug 18 19:29:08 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода DELETE","1818","Попытка удаления несуществующего пользователя","PfDiplomaTeam1 All Tests","Mon Aug 18 19:40:33 UTC 2025","passed","Mon Aug 18 19:40:34 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","deleteUserByNonExistentId"
"Проверка при заполнении карточки авто валидными данными","1933","createCarWithValidData","PfDiplomaTeam1 All Tests","Mon Aug 18 19:36:21 UTC 2025","passed","Mon Aug 18 19:36:23 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithValidData"
"Проверка ошибок при неккоректном заполнении карточки клиента","5233","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:32:27 UTC 2025","passed","Mon Aug 18 19:32:32 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка нажатия Push To API с нулевыми значениями инпутов, добавленных через стрелки","7777","Проверка нажатия Push To API с нулевыми значениями инпутов, добавленных через стрелки","PfDiplomaTeam1 All Tests","Mon Aug 18 19:37:08 UTC 2025","failed","Mon Aug 18 19:37:16 UTC 2025","tests.ui.CreateNewPageTest","All Tests","tests.ui.CreateNewPageTest","pushCreateWithNull"
"Позитивная проверка на ввод цифр в поля ввода","4114","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:28:25 UTC 2025","passed","Mon Aug 18 19:28:29 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","626","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Mon Aug 18 19:40:46 UTC 2025","passed","Mon Aug 18 19:40:46 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Проверка ошибок  при удалении","4244","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 19:33:48 UTC 2025","passed","Mon Aug 18 19:33:52 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок при неккоректном заполнении карточки клиента","5226","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:32:16 UTC 2025","passed","Mon Aug 18 19:32:21 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Негативные проверки на ввод цифр в поля ввода","4113","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:34:38 UTC 2025","passed","Mon Aug 18 19:34:42 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4126","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:34:21 UTC 2025","passed","Mon Aug 18 19:34:25 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка получения дома API","3077","Получение дома по id (GET /house/{id})","PfDiplomaTeam1 All Tests","Mon Aug 18 19:41:08 UTC 2025","passed","Mon Aug 18 19:41:11 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","getHouseByIdTest"
"Проверка ошибок при неккоректном заполнении карточки клиента","5315","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:32:59 UTC 2025","passed","Mon Aug 18 19:33:04 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5183","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Mon Aug 18 19:29:31 UTC 2025","passed","Mon Aug 18 19:29:36 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка получения авто по ID API","1252","Проверка получения авто по ID API","PfDiplomaTeam1 All Tests","Mon Aug 18 19:40:10 UTC 2025","passed","Mon Aug 18 19:40:11 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","getCarByIDAPI"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","5737","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Mon Aug 18 19:35:29 UTC 2025","passed","Mon Aug 18 19:35:35 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка покупки автомобиля (user.amount < car.price","1829","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Mon Aug 18 19:40:36 UTC 2025","passed","Mon Aug 18 19:40:38 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
