"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивная проверка на ввод цифр в поля ввода","5344","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:13 UTC 2025","passed","Wed Aug 20 08:09:18 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","5267","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:11 UTC 2025","passed","Wed Aug 20 08:16:16 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Негативная проверка на ввод цифр,букв, символов в поля ввода","5310","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:23:08 UTC 2025","passed","Wed Aug 20 08:23:13 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","negativeInputInFields"
"","1016","Проверка сортировки по ID (возрастание и убывание)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:19:23 UTC 2025","passed","Wed Aug 20 08:19:24 UTC 2025","tests.ui.TestCarsReadAll","All Tests","tests.ui.TestCarsReadAll","testIdSorting"
"Проверка ошибок при неккоректном заполнении карточки клиента","6538","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 08:12:52 UTC 2025","passed","Wed Aug 20 08:12:59 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка покупки автомобиля (user.amount < car.price","2588","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:27 UTC 2025","passed","Wed Aug 20 08:24:29 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Попытка продать автомобиль не в собственности пользователя","1729","Попытка продажи автомобиля пользователем (авто не во владении пользователя)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:48 UTC 2025","passed","Wed Aug 20 08:24:50 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarNotInOwn"
"Проверка изменения дома API","2609","Обновление дома (PUT /house/{id})","PfDiplomaTeam1 All Tests","Wed Aug 20 08:25:16 UTC 2025","passed","Wed Aug 20 08:25:18 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","updateHouseTest"
"Негативные проверки на ввод цифр в поля ввода","5359","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:40 UTC 2025","passed","Wed Aug 20 08:08:45 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","7016","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 08:10:06 UTC 2025","passed","Wed Aug 20 08:10:13 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Негативные проверки на ввод цифр в поля ввода","5322","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:07 UTC 2025","passed","Wed Aug 20 08:09:13 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","5320","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:23 UTC 2025","passed","Wed Aug 20 08:08:29 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка изменения значения денег нажатием стрелочек","10332","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 08:12:09 UTC 2025","passed","Wed Aug 20 08:12:19 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Негативные проверки на ввод цифр в поля ввода","5330","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:45 UTC 2025","passed","Wed Aug 20 08:08:51 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка API метода GET: выполнение запроса с неверным методом","856","Нарушение контракта GET /user/{userId}","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:26 UTC 2025","passed","Wed Aug 20 08:24:27 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserWithIncorrectMethod"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","6955","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 08:10:27 UTC 2025","passed","Wed Aug 20 08:10:34 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Негативные проверки на ввод цифр в поля ввода","5366","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:29 UTC 2025","passed","Wed Aug 20 08:08:34 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Негативная проверка на ввод цифр,букв, символов в поля ввода","5280","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:23:19 UTC 2025","passed","Wed Aug 20 08:23:24 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","negativeInputInFields"
"Проверка создания авто API","2354","Проверка создания авто API","PfDiplomaTeam1 All Tests","Wed Aug 20 08:23:45 UTC 2025","passed","Wed Aug 20 08:23:48 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","createCarAPI"
"Проверка кнопки Reload","7025","Проверка кнопки Reload","PfDiplomaTeam1 All Tests","Wed Aug 20 08:21:13 UTC 2025","passed","Wed Aug 20 08:21:20 UTC 2025","tests.ui.ReadAllPageTest","All Tests","tests.ui.ReadAllPageTest","clickReloadButton"
"Проверка нажатия Push To API с нулевыми значениями инпутов, добавленных через стрелки","10462","Проверка нажатия Push To API с нулевыми значениями инпутов, добавленных через стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 08:20:09 UTC 2025","failed","Wed Aug 20 08:20:19 UTC 2025","tests.ui.CreateNewPageTest","All Tests","tests.ui.CreateNewPageTest","pushCreateWithNull"
"Проверка ошибок при некорректном заполнении карточки авто","1844","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Wed Aug 20 08:18:41 UTC 2025","passed","Wed Aug 20 08:18:43 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6312","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Wed Aug 20 08:10:53 UTC 2025","passed","Wed Aug 20 08:10:59 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6333","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Wed Aug 20 08:10:40 UTC 2025","passed","Wed Aug 20 08:10:47 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Негативная проверка на ввод цифр,букв, символов в поля ввода","5298","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:23:29 UTC 2025","passed","Wed Aug 20 08:23:35 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","negativeInputInFields"
"Проверка ошибок  при удалении","5437","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:00 UTC 2025","passed","Wed Aug 20 08:16:05 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка API метода DELETE","870","Проверка удаления ранее созданного пользователя","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:20 UTC 2025","passed","Wed Aug 20 08:24:21 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","deleteUserById"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","7006","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:24 UTC 2025","passed","Wed Aug 20 08:09:31 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода POST","865","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:02 UTC 2025","passed","Wed Aug 20 08:24:03 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","6946","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 08:18:15 UTC 2025","passed","Wed Aug 20 08:18:22 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Негативные проверки на ввод цифр в поля ввода","5302","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:17:05 UTC 2025","passed","Wed Aug 20 08:17:10 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка создания клиента","6605","Проверка создания клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 08:12:19 UTC 2025","passed","Wed Aug 20 08:12:26 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUser"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","6857","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:59 UTC 2025","passed","Wed Aug 20 08:10:06 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка ошибок  при удалении","5449","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:05 UTC 2025","passed","Wed Aug 20 08:16:11 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"","7148","Отправка некорректных данных при создании пользователя — ошибка 400","PfDiplomaTeam1 All Tests","Wed Aug 20 08:26:21 UTC 2025","passed","Wed Aug 20 08:26:29 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testInvalidDataSubmissionOnCreateUserForm"
"Проверка API метода POST: выполнение запроса с неверным методом","2600","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Wed Aug 20 08:23:59 UTC 2025","failed","Wed Aug 20 08:24:02 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Проверка изменения значения денег нажатием стрелочек","9966","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 08:11:52 UTC 2025","passed","Wed Aug 20 08:12:02 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6906","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:17:54 UTC 2025","passed","Wed Aug 20 08:18:01 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","856","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:11 UTC 2025","passed","Wed Aug 20 08:24:12 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"","6807","Отправка пустой формы 'Создание пользователя' — ошибка валидации","PfDiplomaTeam1 All Tests","Wed Aug 20 08:25:32 UTC 2025","passed","Wed Aug 20 08:25:39 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testEmptyFormCreateUser"
"Проверка API метода PUT","893","Проверка изменения данных по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:03 UTC 2025","passed","Wed Aug 20 08:24:04 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserData"
"Проверка изменения значения денег нажатием стрелочек","10060","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 08:11:42 UTC 2025","passed","Wed Aug 20 08:11:52 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка поиска по существующему ID","8660","Проверка поиска по существующему ID","PfDiplomaTeam1 All Tests","Wed Aug 20 08:21:29 UTC 2025","passed","Wed Aug 20 08:21:38 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputExistentNumberId"
"Проверка ошибок при неккоректном заполнении карточки клиента","6456","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 08:14:05 UTC 2025","passed","Wed Aug 20 08:14:12 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","864","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:18 UTC 2025","passed","Wed Aug 20 08:24:19 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Негативные проверки на ввод цифр в поля ввода","5332","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:54 UTC 2025","passed","Wed Aug 20 08:16:59 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","6908","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:45 UTC 2025","passed","Wed Aug 20 08:09:52 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"","6828","Отправка пустой формы 'Создание автомобиля' — ошибка валидации","PfDiplomaTeam1 All Tests","Wed Aug 20 08:25:25 UTC 2025","passed","Wed Aug 20 08:25:32 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testEmptyFormCreateCar"
"Проверка ошибок  при удалении","5427","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 08:15:38 UTC 2025","passed","Wed Aug 20 08:15:43 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6887","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:17:40 UTC 2025","passed","Wed Aug 20 08:17:47 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка поиска по несуществующему ID через ввод отрицательного числа","8682","Проверка поиска по несуществующему ID через ввод отрицательного числа","PfDiplomaTeam1 All Tests","Wed Aug 20 08:21:55 UTC 2025","passed","Wed Aug 20 08:22:04 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNegativeNumberId"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","918","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:38 UTC 2025","passed","Wed Aug 20 08:24:39 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"","69","Проверка видимости элементов таблицы","PfDiplomaTeam1 All Tests","Wed Aug 20 08:22:50 UTC 2025","passed","Wed Aug 20 08:22:50 UTC 2025","tests.ui.ReadAllUsersTest","All Tests","tests.ui.ReadAllUsersTest","testElements"
"Проверка изменения значения денег нажатием стрелочек","6801","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 08:12:02 UTC 2025","passed","Wed Aug 20 08:12:09 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка ошибок при некорректном заполнении карточки авто","1815","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Wed Aug 20 08:18:56 UTC 2025","passed","Wed Aug 20 08:18:57 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","866","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:04 UTC 2025","passed","Wed Aug 20 08:24:05 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка ошибок при неккоректном заполнении карточки клиента","6494","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 08:13:59 UTC 2025","passed","Wed Aug 20 08:14:05 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","6956","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 08:18:22 UTC 2025","passed","Wed Aug 20 08:18:29 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","863","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:42 UTC 2025","passed","Wed Aug 20 08:24:42 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Проверка ошибок  при удалении","5429","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 08:15:27 UTC 2025","passed","Wed Aug 20 08:15:32 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"","12698","Успешная продажа / покупка автомобиля","PfDiplomaTeam1 All Tests","Wed Aug 20 08:26:36 UTC 2025","passed","Wed Aug 20 08:26:48 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testValidDataSubmissionSellOrBuyCar"
"Негативные проверки на ввод цифр в поля ввода","5427","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:34 UTC 2025","passed","Wed Aug 20 08:08:40 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка продажи автомобиля","5894","Продажа автомобиля пользователем","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:42 UTC 2025","passed","Wed Aug 20 08:24:48 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCar"
"","7133","Отправка некорректных данных при создании автомобиля — ошибка 400","PfDiplomaTeam1 All Tests","Wed Aug 20 08:26:14 UTC 2025","passed","Wed Aug 20 08:26:21 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testInvalidDataSubmissionOnCreateCarForm"
"Проверка поиска по ID = 1 через нажатие стрелки вверх","8632","Проверка поиска по ID = 1 через нажатие стрелки вверх","PfDiplomaTeam1 All Tests","Wed Aug 20 08:21:46 UTC 2025","passed","Wed Aug 20 08:21:55 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputIdFromArrowUp"
"Негативные проверки на ввод цифр в поля ввода","5335","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:59 UTC 2025","passed","Wed Aug 20 08:17:04 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка ошибок  при удалении","5409","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 08:15:10 UTC 2025","passed","Wed Aug 20 08:15:16 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"","7113","Успешное создание нового пользователя","PfDiplomaTeam1 All Tests","Wed Aug 20 08:27:06 UTC 2025","passed","Wed Aug 20 08:27:13 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testValidUserSubmissionOnCreateUserForm"
"Негативные проверки на ввод цифр в поля ввода","5469","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:48 UTC 2025","passed","Wed Aug 20 08:16:54 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"","6994","Отправка некорректных данных при Продаже /покупке автомобиля  — ошибка 404","PfDiplomaTeam1 All Tests","Wed Aug 20 08:26:29 UTC 2025","passed","Wed Aug 20 08:26:36 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testInvalidDataSubmissionSellOrBuyCar"
"Негативные проверки на ввод цифр в поля ввода","5521","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:56 UTC 2025","passed","Wed Aug 20 08:09:02 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка изменения значения возраста нажатием стрелочек","6943","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 08:11:14 UTC 2025","passed","Wed Aug 20 08:11:21 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка поиска по ID = 0 через нажатие стрелок","8694","Проверка поиска по ID = 0 через нажатие стрелок","PfDiplomaTeam1 All Tests","Wed Aug 20 08:22:39 UTC 2025","passed","Wed Aug 20 08:22:48 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNullIdByArrows"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","6909","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:38 UTC 2025","passed","Wed Aug 20 08:09:45 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","910","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Wed Aug 20 08:24:37 UTC 2025","passed","Wed Aug 20 08:24:38 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"Проверка ошибок  при удалении","5421","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 08:15:05 UTC 2025","passed","Wed Aug 20 08:15:10 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","6930","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:09:31 UTC 2025","passed","Wed Aug 20 08:09:38 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6381","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Wed Aug 20 08:10:34 UTC 2025","passed","Wed Aug 20 08:10:40 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","5345","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 08:08:13 UTC 2025","passed","Wed Aug 20 08:08:18 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6850","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 08:18:01 UTC 2025","passed","Wed Aug 20 08:18:08 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","5264","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 08:16:27 UTC 2025","passed","Wed Aug 20 08:16:32 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка ошибок при некорректном заполнении карточки авто","1775","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Wed Aug 20 08:19:03 UTC 2025","passed","Wed Aug 20 08:19:05 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
