"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления денег","6746","Проверка добавления денег","PfDiplomaTeam1 All Tests","Sun Aug 17 10:57:09 UTC 2025","passed","Sun Aug 17 10:57:16 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","validAddMoney"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","668","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Sun Aug 17 11:05:25 UTC 2025","passed","Sun Aug 17 11:05:26 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка изменения значения денег нажатием стрелочек","8688","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Sun Aug 17 10:57:39 UTC 2025","passed","Sun Aug 17 10:57:48 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","8403","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sun Aug 17 11:02:03 UTC 2025","passed","Sun Aug 17 11:02:11 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка ошибок при неккоректном заполнении карточки клиента","5418","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 10:59:20 UTC 2025","passed","Sun Aug 17 10:59:25 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","664","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sun Aug 17 11:05:27 UTC 2025","passed","Sun Aug 17 11:05:27 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка API метода POST: выполнение запроса с неверным методом","2015","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Sun Aug 17 11:05:17 UTC 2025","failed","Sun Aug 17 11:05:19 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6453","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sun Aug 17 11:04:29 UTC 2025","passed","Sun Aug 17 11:04:35 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Негативные проверки на ввод цифр в поля ввода","8442","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 11:03:19 UTC 2025","passed","Sun Aug 17 11:03:28 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка API метода POST: выполнение запроса с неверным методом","660","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sun Aug 17 11:05:32 UTC 2025","passed","Sun Aug 17 11:05:33 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserWrongMethod"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","14681","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sun Aug 17 10:54:29 UTC 2025","passed","Sun Aug 17 10:54:44 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
