"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6762","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 18:00:26 UTC 2025","passed","Mon Aug 18 18:00:33 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка создания клиента","6531","Проверка создания клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 17:55:04 UTC 2025","passed","Mon Aug 18 17:55:11 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUser"
"Проверка поиска по ID = 1 через нажатие стрелки вверх","6891","Проверка поиска по ID = 1 через нажатие стрелки вверх","PfDiplomaTeam1 All Tests","Mon Aug 18 18:04:40 UTC 2025","passed","Mon Aug 18 18:04:47 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputIdFromArrowUp"
"Проверка ошибок  при удалении","5429","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 17:58:35 UTC 2025","passed","Mon Aug 18 17:58:40 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Негативные проверки на ввод цифр в поля ввода","5168","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 17:59:17 UTC 2025","passed","Mon Aug 18 17:59:22 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка покупки автомобиля (user.amount < car.price","2443","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Mon Aug 18 18:06:13 UTC 2025","passed","Mon Aug 18 18:06:16 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6759","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 18:00:19 UTC 2025","passed","Mon Aug 18 18:00:26 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка получения всех домов API","2807","Получение списка домов (GET /houses)","PfDiplomaTeam1 All Tests","Mon Aug 18 18:06:52 UTC 2025","passed","Mon Aug 18 18:06:55 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","getAllHousesTest"
"Проверка создания клиента","6614","Проверка создания клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 17:55:11 UTC 2025","passed","Mon Aug 18 17:55:18 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUser"
"Негативные проверки на ввод цифр в поля ввода","5445","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 17:51:31 UTC 2025","passed","Mon Aug 18 17:51:37 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
