"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка заселения / выселения пользователя при неполном заполнении формы","4623","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 20:52:09 UTC 2025","passed","Sat Aug 16 20:52:14 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка API метода POST: выполнение запроса с неверным методом","718","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 20:54:24 UTC 2025","passed","Sat Aug 16 20:54:25 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserWrongMethod"
"Негативные проверки на ввод цифр в поля ввода","4464","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:44:02 UTC 2025","passed","Sat Aug 16 20:44:07 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","713","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 20:54:18 UTC 2025","passed","Sat Aug 16 20:54:19 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","11932","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sat Aug 16 20:43:27 UTC 2025","passed","Sat Aug 16 20:43:39 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка API метода POST: переданы несуществующий параметры userId, carId","782","Невалидные данные в запросе","PfDiplomaTeam1 All Tests","Sat Aug 16 20:54:51 UTC 2025","passed","Sat Aug 16 20:54:52 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarWithNonExistentValues"
"Проверка добавления денег","6864","Проверка добавления денег","PfDiplomaTeam1 All Tests","Sat Aug 16 20:46:50 UTC 2025","passed","Sat Aug 16 20:46:57 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","validAddMoney"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","4650","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 20:44:52 UTC 2025","passed","Sat Aug 16 20:44:57 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка ошибок  при удалении","4529","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:50:29 UTC 2025","passed","Sat Aug 16 20:50:34 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок при неккоректном заполнении карточки клиента","5610","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sat Aug 16 20:48:53 UTC 2025","passed","Sat Aug 16 20:48:58 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок  при удалении","4517","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:50:11 UTC 2025","passed","Sat Aug 16 20:50:16 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
