"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные проверки на ввод цифр в поля ввода","4179","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:49:07 UTC 2025","passed","Mon Aug 18 19:49:12 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","5409","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:54:10 UTC 2025","passed","Mon Aug 18 19:54:16 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"","3637","Сортировка по возростанию/убыванию ID","PfDiplomaTeam1 All Tests","Mon Aug 18 20:00:48 UTC 2025","passed","Mon Aug 18 20:00:51 UTC 2025","tests.ui.ReadAllUsersTest","All Tests","tests.ui.ReadAllUsersTest","testSortId"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","631","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Mon Aug 18 20:02:08 UTC 2025","passed","Mon Aug 18 20:02:08 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","626","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Mon Aug 18 20:01:44 UTC 2025","passed","Mon Aug 18 20:01:45 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка изменения значения в поле ввода по нажатию на стрелочки","4091","Проверка увеличение/уменьшение значений в поле ввода READ  при нажатии на стрелки","PfDiplomaTeam1 All Tests","Mon Aug 18 20:00:51 UTC 2025","passed","Mon Aug 18 20:00:55 UTC 2025","tests.ui.ReadUserWithCarsTest","All Tests","tests.ui.ReadUserWithCarsTest","changeFieldsValue"
"Проверка поиска по несуществующему ID через ввод отрицательного числа","5593","Проверка поиска по несуществующему ID через ввод отрицательного числа","PfDiplomaTeam1 All Tests","Mon Aug 18 20:00:10 UTC 2025","passed","Mon Aug 18 20:00:16 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNegativeNumberId"
"Проверка ошибок при неккоректном заполнении карточки клиента","5361","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:53:27 UTC 2025","passed","Mon Aug 18 19:53:32 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка кнопки Reload","5305","Проверка кнопки Reload","PfDiplomaTeam1 All Tests","Mon Aug 18 19:59:43 UTC 2025","passed","Mon Aug 18 19:59:48 UTC 2025","tests.ui.ReadAllPageTest","All Tests","tests.ui.ReadAllPageTest","clickReloadButton"
"Проверка API метода PUT","654","Проверка изменения данных по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Mon Aug 18 20:01:42 UTC 2025","passed","Mon Aug 18 20:01:43 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserData"
"Проверка поиска по ID = 0 через нажатие стрелок","5451","Проверка поиска по ID = 0 через нажатие стрелок","PfDiplomaTeam1 All Tests","Mon Aug 18 20:00:38 UTC 2025","passed","Mon Aug 18 20:00:44 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNullIdByArrows"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","621","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 20:01:49 UTC 2025","passed","Mon Aug 18 20:01:50 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
