"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибок при неккоректном заполнении карточки клиента","6599","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 16:11:35 UTC 2025","passed","Mon Aug 18 16:11:41 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок  при удалении","5453","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 16:12:15 UTC 2025","passed","Mon Aug 18 16:12:20 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок  при удалении","5454","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 16:11:52 UTC 2025","passed","Mon Aug 18 16:11:58 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","5339","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Mon Aug 18 16:05:00 UTC 2025","passed","Mon Aug 18 16:05:05 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6344","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Mon Aug 18 16:07:40 UTC 2025","passed","Mon Aug 18 16:07:46 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка ошибок при неккоректном заполнении полей добавление денег","6411","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Mon Aug 18 16:07:33 UTC 2025","passed","Mon Aug 18 16:07:40 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка создания карточки машины с локализированными валидными данными","1908","createLocalizedCar","PfDiplomaTeam1 All Tests","Mon Aug 18 16:16:03 UTC 2025","passed","Mon Aug 18 16:16:05 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createLocalizedCar"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","873","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:08 UTC 2025","passed","Mon Aug 18 16:20:09 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка изменения значения денег нажатием стрелочек","9805","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 16:08:38 UTC 2025","passed","Mon Aug 18 16:08:48 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка продажи автомобиля","5896","Продажа автомобиля пользователем","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:47 UTC 2025","passed","Mon Aug 18 16:20:53 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCar"
"Позитивная проверка на ввод цифр в поля ввода","5334","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 16:13:59 UTC 2025","passed","Mon Aug 18 16:14:04 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка API метода GET: выполнение запроса с неверным методом","852","Нарушение контракта GET /users","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:29 UTC 2025","passed","Mon Aug 18 16:20:30 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getAllUsersWrongMethod"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","6967","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Mon Aug 18 16:14:46 UTC 2025","passed","Mon Aug 18 16:14:53 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","6945","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Mon Aug 18 16:07:06 UTC 2025","passed","Mon Aug 18 16:07:13 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Проверка получения авто по ID API","1766","Проверка получения авто по ID API","PfDiplomaTeam1 All Tests","Mon Aug 18 16:19:54 UTC 2025","passed","Mon Aug 18 16:19:56 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","getCarByIDAPI"
"Проверка получения всех домов API","2996","Получение списка домов (GET /houses)","PfDiplomaTeam1 All Tests","Mon Aug 18 16:21:13 UTC 2025","passed","Mon Aug 18 16:21:16 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","getAllHousesTest"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6922","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 16:14:11 UTC 2025","passed","Mon Aug 18 16:14:18 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка поиска по существующему ID","7217","Проверка поиска по существующему ID","PfDiplomaTeam1 All Tests","Mon Aug 18 16:18:39 UTC 2025","passed","Mon Aug 18 16:18:46 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputExistentNumberId"
"Проверка изменения значения возраста нажатием стрелочек","7131","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 16:08:01 UTC 2025","passed","Mon Aug 18 16:08:08 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","870","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:10 UTC 2025","passed","Mon Aug 18 16:20:11 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Позитивная проверка на ввод цифр в поля ввода","5338","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 16:13:53 UTC 2025","passed","Mon Aug 18 16:13:58 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","871","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:13 UTC 2025","failed","Mon Aug 18 16:20:14 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка покупки автомобиля (user.amount < car.price","2603","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:31 UTC 2025","passed","Mon Aug 18 16:20:34 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","6912","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 16:06:10 UTC 2025","passed","Mon Aug 18 16:06:17 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода PUT","875","Попытка изменения информации по несуществующему пользователю","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:25 UTC 2025","passed","Mon Aug 18 16:20:26 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserWithNonExistentId"
"Проверка ошибок при неккоректном заполнении карточки клиента","6530","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 16:11:28 UTC 2025","passed","Mon Aug 18 16:11:35 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","852","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 16:20:18 UTC 2025","passed","Mon Aug 18 16:20:18 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
