"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные проверки на ввод цифр в поля ввода","13621","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:00:44 UTC 2025","failed","Sat Aug 16 20:00:58 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Позитивная проверка на ввод цифр в поля ввода","13588","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 20:01:39 UTC 2025","failed","Sat Aug 16 20:01:53 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Попытка продать автомобиль другого пользователя","346","Попытка продажи автомобиля пользователем (авто во владении другого пользователя)","PfDiplomaTeam1 All Tests","Sat Aug 16 21:14:50 UTC 2025","failed","Sat Aug 16 21:14:50 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarAnotherUserOwns"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","13689","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sat Aug 16 21:14:06 UTC 2025","failed","Sat Aug 16 21:14:20 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","13555","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sat Aug 16 20:08:02 UTC 2025","failed","Sat Aug 16 20:08:15 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","344","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sat Aug 16 21:14:32 UTC 2025","failed","Sat Aug 16 21:14:32 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка ошибок  при удалении","13855","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:44:37 UTC 2025","failed","Sat Aug 16 20:44:51 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок  при удалении","13854","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sat Aug 16 20:47:25 UTC 2025","failed","Sat Aug 16 20:47:39 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Негативные проверки на ввод цифр в поля ввода","13689","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 21:01:15 UTC 2025","failed","Sat Aug 16 21:01:29 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Позитивная проверка на ввод цифр в поля ввода","13656","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sat Aug 16 21:04:00 UTC 2025","failed","Sat Aug 16 21:04:14 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
