"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка API метода POST: выполнение запроса с неверным методом","615","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 19:58:40 UTC 2025","passed","Mon Aug 18 19:58:41 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserWrongMethod"
"Попытка заселения / выселения пользователя при неполном заполнении формы","5795","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 19:53:00 UTC 2025","passed","Mon Aug 18 19:53:06 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка удаления дома API","1259","Удаление дома (DELETE /house/{id})","PfDiplomaTeam1 All Tests","Mon Aug 18 19:59:15 UTC 2025","passed","Mon Aug 18 19:59:16 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","deleteHouseTest"
"Проверка ошибок  при удалении","4351","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 19:51:43 UTC 2025","passed","Mon Aug 18 19:51:47 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","5814","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Mon Aug 18 19:53:42 UTC 2025","passed","Mon Aug 18 19:53:47 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Позитивная проверка на ввод цифр в поля ввода","4145","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:46:25 UTC 2025","passed","Mon Aug 18 19:46:29 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Проверка API метода POST: выполнение запроса с неверным методом","1888","Нарушение контракта POST /user/{userId}","PfDiplomaTeam1 All Tests","Mon Aug 18 19:58:26 UTC 2025","failed","Mon Aug 18 19:58:28 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","buyOrSellCarByUserIdCarIdWrongMethod"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5246","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Mon Aug 18 19:47:43 UTC 2025","passed","Mon Aug 18 19:47:48 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка ошибок  при удалении","4291","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 19:51:34 UTC 2025","passed","Mon Aug 18 19:51:39 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка поиска по несуществующему ID через ввод отрицательного числа","5544","Проверка поиска по несуществующему ID через ввод отрицательного числа","PfDiplomaTeam1 All Tests","Mon Aug 18 19:56:57 UTC 2025","passed","Mon Aug 18 19:57:02 UTC 2025","tests.ui.ReadOneByIdPageTest","All Tests","tests.ui.ReadOneByIdPageTest","inputNegativeNumberId"
"Проверка ошибок  при удалении","4323","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Mon Aug 18 19:51:30 UTC 2025","passed","Mon Aug 18 19:51:34 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок при некорректном заполнении карточки авто","1812","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Mon Aug 18 19:54:22 UTC 2025","passed","Mon Aug 18 19:54:23 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка продажи автомобиля","4189","Продажа автомобиля пользователем","PfDiplomaTeam1 All Tests","Mon Aug 18 19:58:57 UTC 2025","passed","Mon Aug 18 19:59:01 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCar"
"Проверка изменения значения денег нажатием стрелочек","5568","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 19:48:46 UTC 2025","passed","Mon Aug 18 19:48:51 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Негативные проверки на ввод цифр в поля ввода","4196","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 19:52:43 UTC 2025","passed","Mon Aug 18 19:52:48 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","5334","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:49:51 UTC 2025","failed","Mon Aug 18 19:49:57 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения значения возраста нажатием стрелочек","5652","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 19:48:17 UTC 2025","passed","Mon Aug 18 19:48:23 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка ошибок при неккоректном заполнении карточки клиента","5394","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Mon Aug 18 19:51:03 UTC 2025","passed","Mon Aug 18 19:51:08 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения дома API","1890","Обновление дома (PUT /house/{id})","PfDiplomaTeam1 All Tests","Mon Aug 18 19:59:22 UTC 2025","passed","Mon Aug 18 19:59:24 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","updateHouseTest"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4178","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Mon Aug 18 19:52:05 UTC 2025","passed","Mon Aug 18 19:52:09 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
