"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка заселения / выселения пользователя при неполном заполнении формы","5738","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:05:03 UTC 2025","passed","Wed Aug 20 09:05:09 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка изменения данных авто по ID API","4392","Проверка изменения данных авто по ID API","PfDiplomaTeam1 All Tests","Wed Aug 20 09:10:29 UTC 2025","passed","Wed Aug 20 09:10:33 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","changeCarByIDAPI"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","5926","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Wed Aug 20 08:59:16 UTC 2025","passed","Wed Aug 20 08:59:22 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5257","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Wed Aug 20 08:59:55 UTC 2025","passed","Wed Aug 20 09:00:01 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка удаления дома API","1242","Удаление дома (DELETE /house/{id})","PfDiplomaTeam1 All Tests","Wed Aug 20 09:11:33 UTC 2025","passed","Wed Aug 20 09:11:34 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","deleteHouseTest"
"Позитивная проверка на ввод цифр в поля ввода","4132","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 09:04:59 UTC 2025","passed","Wed Aug 20 09:05:03 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4230","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Wed Aug 20 08:57:57 UTC 2025","passed","Wed Aug 20 08:58:01 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","606","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Wed Aug 20 09:10:50 UTC 2025","passed","Wed Aug 20 09:10:51 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка создания авто API","1690","Проверка создания авто API","PfDiplomaTeam1 All Tests","Wed Aug 20 09:10:33 UTC 2025","passed","Wed Aug 20 09:10:35 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","createCarAPI"
"Проверка ошибок при неккоректном заполнении карточки клиента","5410","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Wed Aug 20 09:01:33 UTC 2025","passed","Wed Aug 20 09:01:38 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка ошибок  при удалении","4322","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:03:20 UTC 2025","passed","Wed Aug 20 09:03:25 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок  при удалении","4372","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:03:12 UTC 2025","passed","Wed Aug 20 09:03:16 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Попытка продать автомобиль не в собственности пользователя","1211","Попытка продажи автомобиля пользователем (авто не во владении пользователя)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:11:17 UTC 2025","passed","Wed Aug 20 09:11:18 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarNotInOwn"
"Проверка ошибок  при удалении","4286","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:03:16 UTC 2025","passed","Wed Aug 20 09:03:20 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка при заполнении карточки авто валидными данными","1923","createCarWithValidData","PfDiplomaTeam1 All Tests","Wed Aug 20 09:06:30 UTC 2025","passed","Wed Aug 20 09:06:32 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithValidData"
"Проверка изменения значения денег нажатием стрелочек","5819","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 09:00:54 UTC 2025","passed","Wed Aug 20 09:01:00 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Проверка нажатия Push To API с отрицательными значениями инпутов, добавленных через стрелки","11669","Проверка нажатия Push To API с отрицательными значениями инпутов, добавленных через стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 09:06:53 UTC 2025","passed","Wed Aug 20 09:07:04 UTC 2025","tests.ui.CreateNewPageTest","All Tests","tests.ui.CreateNewPageTest","pushCreateWithNegativeNumbers"
"Проверка ошибок  при удалении","4294","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:03:51 UTC 2025","passed","Wed Aug 20 09:03:55 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок  при удалении","4337","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:03:56 UTC 2025","passed","Wed Aug 20 09:04:00 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка изменения значения возраста нажатием стрелочек","5819","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Wed Aug 20 09:00:07 UTC 2025","passed","Wed Aug 20 09:00:13 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","606","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Wed Aug 20 09:11:10 UTC 2025","passed","Wed Aug 20 09:11:11 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"Проверка API метода POST","603","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Wed Aug 20 09:10:45 UTC 2025","passed","Wed Aug 20 09:10:45 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","607","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Wed Aug 20 09:10:51 UTC 2025","passed","Wed Aug 20 09:10:51 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4197","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Wed Aug 20 08:57:44 UTC 2025","passed","Wed Aug 20 08:57:48 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Попытка заселения / выселения пользователя при неполном заполнении формы","5730","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Wed Aug 20 09:05:09 UTC 2025","passed","Wed Aug 20 09:05:15 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Проверка получения дома API","3630","Получение дома по id (GET /house/{id})","PfDiplomaTeam1 All Tests","Wed Aug 20 09:11:37 UTC 2025","passed","Wed Aug 20 09:11:41 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","getHouseByIdTest"
"Проверка ошибок  при удалении","4420","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Wed Aug 20 09:03:29 UTC 2025","passed","Wed Aug 20 09:03:34 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"","6271","Отправка некорректных данных при начислениии денег пользователю — ошибка 404","PfDiplomaTeam1 All Tests","Wed Aug 20 09:12:07 UTC 2025","passed","Wed Aug 20 09:12:14 UTC 2025","tests.ui.AllPostTest","All Tests","tests.ui.AllPostTest","testInvalidDataSubmissionInAddMoneyForm"
