"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","7013","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sun Aug 17 20:18:56 UTC 2025","passed","Sun Aug 17 20:19:03 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Попытка заселения / выселения пользователя при неполном заполнении формы","6938","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sun Aug 17 20:26:32 UTC 2025","passed","Sun Aug 17 20:26:39 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","6960","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sun Aug 17 20:27:07 UTC 2025","passed","Sun Aug 17 20:27:14 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка API метода GET: выполнение запроса с неверным методом","849","Нарушение контракта GET /user/{userId}","PfDiplomaTeam1 All Tests","Sun Aug 17 20:29:07 UTC 2025","passed","Sun Aug 17 20:29:08 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserWithIncorrectMethod"
"Проверка удаления дома API","1732","Удаление дома (DELETE /house/{id})","PfDiplomaTeam1 All Tests","Sun Aug 17 20:29:49 UTC 2025","passed","Sun Aug 17 20:29:51 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","deleteHouseTest"
"Проверка ошибок при неккоректном заполнении карточки клиента","6558","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:22:13 UTC 2025","passed","Sun Aug 17 20:22:20 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка создания клиента","6636","Проверка создания клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:21:07 UTC 2025","passed","Sun Aug 17 20:21:13 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUser"
"Позитивная проверка на ввод цифр в поля ввода","5349","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:25:59 UTC 2025","passed","Sun Aug 17 20:26:04 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка покупки автомобиля (user.amount = car.price)","4998","Покупка автомобиля пользователем","PfDiplomaTeam1 All Tests","Sun Aug 17 20:29:36 UTC 2025","passed","Sun Aug 17 20:29:41 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountEqualPrice"
"Проверка ошибок при неккоректном заполнении карточки клиента","6528","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:21:20 UTC 2025","passed","Sun Aug 17 20:21:26 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST","861","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Sun Aug 17 20:28:43 UTC 2025","passed","Sun Aug 17 20:28:44 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","7004","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sun Aug 17 20:18:14 UTC 2025","passed","Sun Aug 17 20:18:21 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка ошибок  при удалении","5484","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sun Aug 17 20:23:46 UTC 2025","passed","Sun Aug 17 20:23:51 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
