"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка покупки автомобиля (user.amount = car.price)","4147","Покупка того же автомобиля пользователем","PfDiplomaTeam1 All Tests","Mon Aug 18 05:31:46 UTC 2025","passed","Mon Aug 18 05:31:50 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarTwice"
"Позитивная проверка на ввод цифр в поля ввода","4211","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 05:22:52 UTC 2025","passed","Mon Aug 18 05:22:57 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","positiveInputInFields"
"Попытка совершения продажи/покупки авто с отсутствующими в БД значениями","5828","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Mon Aug 18 05:23:36 UTC 2025","passed","Mon Aug 18 05:23:42 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithNonExistentValues"
"Попытка совершения продажи/покупки авто при неполном заполнении формы","5781","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Mon Aug 18 05:23:13 UTC 2025","passed","Mon Aug 18 05:23:18 UTC 2025","tests.ui.BuyOrSellCarTest","All Tests","tests.ui.BuyOrSellCarTest","buyOrSellCarWithEmptyFieldsValues"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4196","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Mon Aug 18 05:22:09 UTC 2025","passed","Mon Aug 18 05:22:14 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","621","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Mon Aug 18 05:31:28 UTC 2025","passed","Mon Aug 18 05:31:28 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","637","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Mon Aug 18 05:31:27 UTC 2025","passed","Mon Aug 18 05:31:28 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Позитивная проверка на ввод цифр в поля ввода","4178","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 05:29:23 UTC 2025","passed","Mon Aug 18 05:29:27 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка ошибок при некорректном заполнении карточки авто","1854","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Mon Aug 18 05:30:29 UTC 2025","passed","Mon Aug 18 05:30:31 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","614","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Mon Aug 18 05:31:34 UTC 2025","passed","Mon Aug 18 05:31:35 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Негативные проверки на ввод цифр в поля ввода","4211","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Mon Aug 18 05:22:44 UTC 2025","passed","Mon Aug 18 05:22:48 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка изменения значения возраста нажатием стрелочек","5783","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Mon Aug 18 05:24:33 UTC 2025","passed","Mon Aug 18 05:24:39 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка ошибок при неккоректном заполнении полей добавление денег","5164","Проверка ошибок при неккоректном заполнении полей добавление денег","PfDiplomaTeam1 All Tests","Mon Aug 18 05:24:16 UTC 2025","passed","Mon Aug 18 05:24:21 UTC 2025","tests.ui.AddMoneyTest","All Tests","tests.ui.AddMoneyTest","notValidAddMoney"
"Проверка API метода PUT","633","Попытка изменения информации по несуществующему пользователю","PfDiplomaTeam1 All Tests","Mon Aug 18 05:31:40 UTC 2025","passed","Mon Aug 18 05:31:40 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserWithNonExistentId"
