"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","722","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:36 UTC 2025","passed","Sun Aug 17 20:30:37 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4420","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sun Aug 17 20:19:19 UTC 2025","passed","Sun Aug 17 20:19:24 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Проверка изменения значения возраста нажатием стрелочек","6637","Проверка изменения значения возраста нажатием стрелочек","PfDiplomaTeam1 All Tests","Sun Aug 17 20:22:22 UTC 2025","passed","Sun Aug 17 20:22:29 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickAge"
"Проверка получения авто по ID API","1472","Проверка получения авто по ID API","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:17 UTC 2025","passed","Sun Aug 17 20:30:18 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","getCarByIDAPI"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","716","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:34 UTC 2025","passed","Sun Aug 17 20:30:35 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Проверка ошибок  при удалении","5609","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sun Aug 17 20:26:49 UTC 2025","passed","Sun Aug 17 20:26:55 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка ошибок при неккоректном заполнении карточки клиента","6132","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:23:52 UTC 2025","passed","Sun Aug 17 20:23:58 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения значения денег нажатием стрелочек","10547","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Sun Aug 17 20:22:46 UTC 2025","passed","Sun Aug 17 20:22:56 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Позитивная проверка на ввод цифр в поля ввода","4828","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:28:01 UTC 2025","passed","Sun Aug 17 20:28:05 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Проверка изменения значения денег нажатием стрелочек","6364","Проверка изменения значения денег нажатием стрелочек","PfDiplomaTeam1 All Tests","Sun Aug 17 20:22:57 UTC 2025","passed","Sun Aug 17 20:23:03 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","arrowClickMoney"
"Попытка заселения / выселения пользователя при неполном заполнении формы","7795","Попытка отправки формы с незаполненным(и) обязательным(и) значением(ями)","PfDiplomaTeam1 All Tests","Sun Aug 17 20:28:33 UTC 2025","passed","Sun Aug 17 20:28:41 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithEmptyFieldsValues"
"Позитивная проверка на ввод цифр в поля ввода","4844","Ввод цифр в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:27:56 UTC 2025","passed","Sun Aug 17 20:28:01 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","positiveInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4445","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:19:46 UTC 2025","passed","Sun Aug 17 20:19:51 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка ошибок  при удалении","4969","Проверка ошибок при удалении","PfDiplomaTeam1 All Tests","Sun Aug 17 20:26:39 UTC 2025","passed","Sun Aug 17 20:26:44 UTC 2025","tests.ui.AllDeleteTest","All Tests","tests.ui.AllDeleteTest","notValidAddMoney"
"Проверка API метода GET","720","Попытка получения информации по несуществующему пользователю","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:46 UTC 2025","passed","Sun Aug 17 20:30:47 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getUserByNonExistentId"
"Проверка ошибок при некорректном заполнении карточки авто","1814","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Sun Aug 17 20:29:28 UTC 2025","passed","Sun Aug 17 20:29:30 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка покупки автомобиля (user.amount = car.price)","4120","Покупка автомобиля пользователем","PfDiplomaTeam1 All Tests","Sun Aug 17 20:31:11 UTC 2025","passed","Sun Aug 17 20:31:15 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountEqualPrice"
"Проверка API метода GET: выполнение запроса с неверным методом","710","Нарушение контракта GET /users","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:46 UTC 2025","passed","Sun Aug 17 20:30:46 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","getAllUsersWrongMethod"
"Проверка изменения данных авто по ID API","4533","Проверка изменения данных авто по ID API","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:09 UTC 2025","passed","Sun Aug 17 20:30:13 UTC 2025","tests.api.CarAPITest","All Tests","tests.api.CarAPITest","changeCarByIDAPI"
"Негативные проверки на ввод цифр в поля ввода","4468","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:19:42 UTC 2025","passed","Sun Aug 17 20:19:46 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Негативные проверки на ввод цифр в поля ввода","4859","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:27:21 UTC 2025","passed","Sun Aug 17 20:27:26 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","7224","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:25:32 UTC 2025","failed","Sun Aug 17 20:25:40 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка API метода POST: не переданы обязательные параметры, неверное значение параметра sex","712","Нарушение контракта метода POST /user","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:36 UTC 2025","passed","Sun Aug 17 20:30:36 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUserNegativeParams"
"Попытка заселения / выселения пользователя с отсутствующими в БД значениями","7784","Попытка отправки формы с несуществующими в БД значениями","PfDiplomaTeam1 All Tests","Sun Aug 17 20:28:47 UTC 2025","passed","Sun Aug 17 20:28:55 UTC 2025","tests.ui.SettleToHouseTest","All Tests","tests.ui.SettleToHouseTest","settleUserToOrEvictFromHouseWithNonExistentValues"
"Проверка ошибок при некорректном заполнении карточки авто","1840","createCarWithInvalidData","PfDiplomaTeam1 All Tests","Sun Aug 17 20:29:21 UTC 2025","passed","Sun Aug 17 20:29:23 UTC 2025","tests.ui.CreateCarTest","All Tests","tests.ui.CreateCarTest","createCarWithInvalidData"
"Проверка API метода PUT: не переданы обязательные параметры, неверное значение параметра sex","724","Нарушение контракта метода PUT /user","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:34 UTC 2025","passed","Sun Aug 17 20:30:34 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserNegativeParams"
"Негативные проверки на ввод цифр в поля ввода","4456","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:19:51 UTC 2025","passed","Sun Aug 17 20:19:55 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка ошибок при неккоректном заполнении карточки клиента","6022","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:24:46 UTC 2025","passed","Sun Aug 17 20:24:52 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4791","Проверяет увеличение/уменьшение значений в полях ввода User ID и House ID при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sun Aug 17 20:27:00 UTC 2025","passed","Sun Aug 17 20:27:05 UTC 2025","tests.ui.SettleToHouseInputsTest","All Tests","tests.ui.SettleToHouseInputsTest","changeFieldsValue"
"Проверка получения дома API","3339","Получение дома по id (GET /house/{id})","PfDiplomaTeam1 All Tests","Sun Aug 17 20:31:25 UTC 2025","passed","Sun Aug 17 20:31:28 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","getHouseByIdTest"
"Проверка API метода PUT","730","Проверка изменения данных по ранее созданному пользователю","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:28 UTC 2025","passed","Sun Aug 17 20:30:29 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","changeUserData"
"Проверка покупки автомобиля (user.amount < car.price","2183","Попытка покупки автомобиля пользователем при недостаточном кол-ве средств","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:48 UTC 2025","passed","Sun Aug 17 20:30:50 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyCarAmountLessPrice"
"Проверка ошибок при неккоректном заполнении карточки клиента","6110","Проверка ошибок при неккоректном заполнение карточки клиента","PfDiplomaTeam1 All Tests","Sun Aug 17 20:23:38 UTC 2025","passed","Sun Aug 17 20:23:44 UTC 2025","tests.ui.CreateUserTest","All Tests","tests.ui.CreateUserTest","createUserWithNegativeValue"
"Проверка изменения значений в полях ввода по нажатию на стрелочки в этих полях","4481","Проверяет увеличение/уменьшение значений в полях ввода User ID и Car Id при нажатии на стрелки","PfDiplomaTeam1 All Tests","Sun Aug 17 20:19:15 UTC 2025","passed","Sun Aug 17 20:19:19 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","changeFieldsValue"
"Попытка продать автомобиль другого пользователя","5536","Попытка продажи автомобиля пользователем (авто во владении другого пользователя)","PfDiplomaTeam1 All Tests","Sun Aug 17 20:31:15 UTC 2025","passed","Sun Aug 17 20:31:20 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userSellsCarAnotherUserOwns"
"Проверка API метода POST","714","Проверка создания пользователя","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:27 UTC 2025","passed","Sun Aug 17 20:30:28 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","createUser"
"Проверка API метода POST: не переданы обязательные параметры userId, carId","716","Нарушение контракта методов POST /user/{userId}/{buy/sell}Car/{carId}","PfDiplomaTeam1 All Tests","Sun Aug 17 20:30:57 UTC 2025","passed","Sun Aug 17 20:30:58 UTC 2025","tests.api.PersonControllerTest","All Tests","tests.api.PersonControllerTest","userBuyOrSellCarMissRequiredValues"
"Негативные проверки на ввод цифр в поля ввода","4495","Ввод русских, английских букв, спецсимволов и пробела в поля ввода","PfDiplomaTeam1 All Tests","Sun Aug 17 20:19:28 UTC 2025","passed","Sun Aug 17 20:19:33 UTC 2025","tests.ui.BuyOrSellCarInputsTest","All Tests","tests.ui.BuyOrSellCarInputsTest","negativeInputInFields"
"Проверка создания дома API","744","Создание дома (POST /house)","PfDiplomaTeam1 All Tests","Sun Aug 17 20:31:20 UTC 2025","passed","Sun Aug 17 20:31:21 UTC 2025","tests.api.HouseAPITest","All Tests","tests.api.HouseAPITest","createHouseTest"
